file,reverberation-time
wav/newgrange__b-format__newgrange_s1r5_2.wav,0.25
wav/st_margarets_church_ncem_5_piece_band_spatial_measurements__stereo__1_c414_l.wav,1.35
wav/st_margarets_church_ncem_5_piece_band_spatial_measurements__stereo__3_nt1_r.wav,1.35
wav/st_margarets_church_ncem_5_piece_band_spatial_measurements__stereo__5_c414_l.wav,1.35
wav/st_margarets_church_ncem_5_piece_band_spatial_measurements__stereo__2_nt1_l.wav,1.35
wav/st_margarets_church_ncem_5_piece_band_spatial_measurements__stereo__2_nt1_r.wav,1.35
wav/st_margarets_church_ncem_5_piece_band_spatial_measurements__stereo__1_nt1_r.wav,1.35
wav/st_margarets_church_ncem_5_piece_band_spatial_measurements__stereo__5_c414_r.wav,1.35
wav/st_margarets_church_ncem_5_piece_band_spatial_measurements__stereo__4_c414_r.wav,1.35
wav/st_margarets_church_ncem_5_piece_band_spatial_measurements__stereo__1_c414_r.wav,1.35
wav/st_margarets_church_ncem_5_piece_band_spatial_measurements__stereo__2_c414_r.wav,1.35
wav/st_margarets_church_ncem_5_piece_band_spatial_measurements__stereo__2_c414_l.wav,1.35
wav/st_margarets_church_ncem_5_piece_band_spatial_measurements__stereo__4_nt1_r.wav,1.35
wav/st_margarets_church_ncem_5_piece_band_spatial_measurements__stereo__3_nt1_l.wav,1.35
wav/st_margarets_church_ncem_5_piece_band_spatial_measurements__stereo__1_nt1_l.wav,1.35
wav/st_margarets_church_ncem_5_piece_band_spatial_measurements__stereo__5_nt1_l.wav,1.35
wav/st_margarets_church_ncem_5_piece_band_spatial_measurements__stereo__3_c414_l.wav,1.35
wav/st_margarets_church_ncem_5_piece_band_spatial_measurements__stereo__5_nt1_r.wav,1.35
wav/st_margarets_church_ncem_5_piece_band_spatial_measurements__stereo__4_nt1_l.wav,1.35
wav/st_margarets_church_ncem_5_piece_band_spatial_measurements__stereo__4_c414_l.wav,1.35
wav/st_margarets_church_ncem_5_piece_band_spatial_measurements__stereo__3_c414_r.wav,1.35
wav/york_guildhall_council_chamber__b-format__councilchamber_s2_r3_ir_1_96000.wav,0.93
wav/york_guildhall_council_chamber__b-format__councilchamber_s2_r4_ir_1_96000.wav,0.93
wav/york_guildhall_council_chamber__b-format__councilchamber_s2_r1_ir_1_96000.wav,0.93
wav/york_guildhall_council_chamber__b-format__councilchamber_s3_r1_ir_1_96000.wav,0.93
wav/york_guildhall_council_chamber__b-format__councilchamber_s3_r3_ir_1_96000.wav,0.93
wav/york_guildhall_council_chamber__b-format__councilchamber_s1_r3_ir_1_96000.wav,0.93
wav/york_guildhall_council_chamber__b-format__councilchamber_s3_r2_ir_1_96000.wav,0.93
wav/york_guildhall_council_chamber__b-format__councilchamber_s1_r2_ir_1_96000.wav,0.93
wav/york_guildhall_council_chamber__b-format__councilchamber_s3_r4_ir_1_96000.wav,0.93
wav/york_guildhall_council_chamber__b-format__councilchamber_s1_r4_ir_1_96000.wav,0.93
wav/york_guildhall_council_chamber__b-format__councilchamber_s1_r1_ir_1_96000.wav,0.93
wav/york_guildhall_council_chamber__b-format__councilchamber_s2_r2_ir_1_96000.wav,0.93
wav/gill_heads_mine__b-format__mine_site1_1way_bformat.wav,0.88
wav/gill_heads_mine__b-format__mine_site2_1way_bformat.wav,0.88
wav/gill_heads_mine__b-format__mine_site2_2way_bformat.wav,0.88
wav/gill_heads_mine__b-format__mine_site1_2way_bformat.wav,0.88
wav/r1_nuclear_reactor_hall__stereo__r1_ortf.wav,5.43
wav/r1_nuclear_reactor_hall__stereo__r1_ortf-48k.wav,5.43
wav/st_marys_abbey_reconstruction__stereo__phase2_stereo.wav,13.73
wav/st_marys_abbey_reconstruction__stereo__phase1_stereo.wav,13.73
wav/st_marys_abbey_reconstruction__stereo__phase3_stereo.wav,13.73
wav/york_minster__stereo__minster1_000_ortf_48k.wav,8.4
wav/ron_cooke_hub_university_york__b-format__tsfthr.wav,1.53
wav/ron_cooke_hub_university_york__b-format__tssr.wav,1.53
wav/ron_cooke_hub_university_york__b-format__tstr_ir.wav,1.53
wav/ron_cooke_hub_university_york__b-format__sssr.wav,1.53
wav/ron_cooke_hub_university_york__b-format__sstr.wav,1.53
wav/ron_cooke_hub_university_york__b-format__tsfr.wav,1.53
wav/ron_cooke_hub_university_york__b-format__fstr.wav,1.53
wav/ron_cooke_hub_university_york__b-format__ssfr.wav,1.53
wav/ron_cooke_hub_university_york__b-format__fsfr.wav,1.53
wav/ron_cooke_hub_university_york__b-format__fssr.wav,1.53
wav/st_matthews_church_walsall__mono__ir_-_location_5_s2_-_r1.wav,1.82
wav/st_matthews_church_walsall__mono__ir_-_location_3_s1_-_r3.wav,1.82
wav/st_matthews_church_walsall__mono__ir_-_location_1_s1_-_r1.wav,1.82
wav/st_matthews_church_walsall__mono__ir_-_location_2_s1_-_r2.wav,1.82
